words,length,layouts,dist,home,dpl,dpj
REEQUIPPED,10,dvorak,297.32,40.0,29.732,33.036
LIGHTTIGHT,10,dvorak,303.8,50.0,30.38,33.756
BEEKEEPING,10,dvorak,315.43,50.0,31.543,35.048
HYPOPYGIUM,10,dvorak,326.7,30.0,32.67,36.3
BEEKEEPERS,10,dvorak,327.31,60.0,32.731,36.368
SHEEPIFIED,10,dvorak,330.52,50.0,33.052,36.724
RIGIDIFIED,10,dvorak,331.7,10.0,33.17,36.856
OPHIDIIDAE,10,dvorak,331.78,40.0,33.178,36.864
BOOKKEEPER,10,dvorak,332.25,50.0,33.225,36.917
HIPPOGRIFF,10,dvorak,335.3,20.0,33.53,37.256
THUMBIKINS,10,dvorak,336.78,50.0,33.678,37.42
QUEENRIGHT,10,dvorak,338.35,60.0,33.835,37.594
STICHIDIUM,10,dvorak,339.39,40.0,33.939,37.71
JOYPOPPING,10,dvorak,339.53,30.0,33.953,37.726
