words,length,layouts,dist,home,dpl,dpj
ADDRESSERS,10,qwerty,186.03,60.0,18.603,20.67
BUTTRESSED,10,qwerty,188.39,30.0,18.839,20.932
BUTTRESSES,10,qwerty,192.56,30.0,19.256,21.396
REASSERTED,10,qwerty,196.15,40.0,19.615,21.794
DESTRESSED,10,qwerty,204.55,50.0,20.455,22.728
EFFECTRESS,10,qwerty,208.51,40.0,20.851,23.168
BUTTERWEED,10,qwerty,216.97,10.0,21.697,24.108
WARDRESSES,10,qwerty,217.65,50.0,21.765,24.183
INTERESSEE,10,qwerty,219.38,20.0,21.938,24.376
HUNTRESSES,10,qwerty,222.37,30.0,22.237,24.708
