P,0,57.15
Y,0,76.2
F,0,95.25
G,0,114.3
C,0,133.35
R,0,152.4
L,0,171.45
A,19.05,4.7625
O,19.05,23.8125
E,19.05,42.8625
U,19.05,61.9125
I,19.05,80.9625
D,19.05,100.0125
H,19.05,119.0625
T,19.05,138.1125
N,19.05,157.1625
S,19.05,176.2125
Q,38.1,33.3375
J,38.1,52.3875
K,38.1,71.4375
X,38.1,90.4875
B,38.1,109.5375
M,38.1,128.5875
W,38.1,147.6375
V,38.1,166.6875
Z,38.1,185.7375
