distance,qwerty,dvorak,colemak,workman
92.47,US,GO,LR,FS
73.93,UD,GE,LS,FH
55.74,UF,GU,LT,FT
38.4,UG,GI,LD,FG
23.81,UH,GD,LH,FY
19.64,UJ,GH,LN,FN
30.49,UK,GT,LE,FE
46.91,UL,GN,LI,FO
64.78,U;,GS,LO,FI
107.02,UZ,G;,LZ,FZ
89.48,UX,GQ,LX,FX
72.7,UC,GJ,LC,FM
57.35,UV,GK,LV,FC
44.93,UB,GX,LB,FV
38.4,UN,GB,LK,FK
40.69,UM,GM,LM,FL
50.63,"U,",GW,"L,","F,"
64.78,U.,GV,L.,F.
80.96,U/,GZ,L/,F/
133.35,IQ,C',UQ,UQ
114.3,IW,"C,",UW,UD
95.25,IE,C.,UF,UR
76.2,IR,CP,UP,UW
57.15,IT,CY,UG,UB
38.1,IY,CF,UJ,UJ
19.05,IU,CG,UL,UF
0.0,II,CC,UU,UU
19.05,IO,CR,UY,UP
38.1,IP,CL,U;,U;
129.99,IA,CA,UA,UA
111.18,IS,CO,UR,US
92.47,ID,CE,US,UH
73.93,IF,CU,UT,UT
55.74,IG,CI,UD,UG
38.4,IH,CD,UH,UY
23.81,IJ,CH,UN,UN
19.64,IK,CT,UE,UE
30.49,IL,CN,UI,UO
46.91,I;,CS,UO,UI
125.01,IZ,C;,UZ,UZ
107.02,IX,CQ,UX,UX
89.48,IC,CJ,UC,UM
72.7,IV,CK,UV,UC
57.35,IB,CX,UB,UV
44.93,IN,CB,UK,UK
38.4,IM,CM,UM,UL
40.69,"I,",CW,"U,","U,"
50.63,I.,CV,U.,U.
64.78,I/,CZ,U/,U/
152.4,OQ,R',YQ,PQ
133.35,OW,"R,",YW,PD
114.3,OE,R.,YF,PR
95.25,OR,RP,YP,PW
76.2,OT,RY,YG,PB
57.15,OY,RF,YJ,PJ
38.1,OU,RG,YL,PF
19.05,OI,RC,YU,PU
0.0,OO,RR,YY,PP
19.05,OP,RL,Y;,P;
148.86,OA,RA,YA,PA
129.99,OS,RO,YR,PS
111.18,OD,RE,YS,PH
92.47,OF,RU,YT,PT
73.93,OG,RI,YD,PG
55.74,OH,RD,YH,PY
38.4,OJ,RH,YN,PN
23.81,OK,RT,YE,PE
19.64,OL,RN,YI,PO
30.49,O;,RS,YO,PI
143.27,OZ,R;,YZ,PZ
125.01,OX,RQ,YX,PX
107.02,OC,RJ,YC,PM
89.48,OV,RK,YV,PC
72.7,OB,RX,YB,PV
57.35,ON,RB,YK,PK
44.93,OM,RM,YM,PL
38.4,"O,",RW,"Y,","P,"
40.69,O.,RV,Y.,P.
50.63,O/,RZ,Y/,P/
171.45,PQ,L',;Q,;Q
152.4,PW,"L,",;W,;D
133.35,PE,L.,;F,;R
114.3,PR,LP,;P,;W
95.25,PT,LY,;G,;B
76.2,PY,LF,;J,;J
57.15,PU,LG,;L,;F
38.1,PI,LC,;U,;U
19.05,PO,LR,;Y,;P
0.0,PP,LL,;;,;;
167.77,PA,LA,;A,;A
148.86,PS,LO,;R,;S
129.99,PD,LE,;S,;H
111.18,PF,LU,;T,;T
92.47,PG,LI,;D,;G
73.93,PH,LD,;H,;Y
55.74,PJ,LH,;N,;N
38.4,PK,LT,;E,;E
23.81,PL,LN,;I,;O
19.64,P;,LS,;O,;I
161.71,PZ,L;,;Z,;Z
143.27,PX,LQ,;X,;X
125.01,PC,LJ,;C,;M
107.02,PV,LK,;V,;C
89.48,PB,LX,;B,;V
72.7,PN,LB,;K,;K
57.35,PM,LM,;M,;L
44.93,"P,",LW,";,",";,"
38.4,P.,LV,;.,;.
40.69,P/,LZ,;/,;/
19.64,AQ,A',AQ,AQ
23.81,AW,"A,",AW,AD
38.4,AE,A.,AF,AR
55.74,AR,AP,AP,AW
73.93,AT,AY,AG,AB
92.47,AY,AF,AJ,AJ
111.18,AU,AG,AL,AF
129.99,AI,AC,AU,AU
148.86,AO,AR,AY,AP
167.77,AP,AL,A;,A;
0.0,AA,AA,AA,AA
19.05,AS,AO,AR,AS
38.1,AD,AE,AS,AH
57.15,AF,AU,AT,AT
76.2,AG,AI,AD,AG
95.25,AH,AD,AH,AY
114.3,AJ,AH,AN,AN
133.35,AK,AT,AE,AE
152.4,AL,AN,AI,AO
171.45,A;,AS,AO,AI
21.3,AZ,A;,AZ,AZ
34.34,AX,AQ,AX,AX
51.29,AC,AJ,AC,AM
69.34,AV,AK,AV,AC
87.82,AB,AX,AB,AV
106.49,AN,AB,AK,AK
125.28,AM,AM,AM,AL
144.14,"A,",AW,"A,","A,"
163.04,A.,AV,A.,A.
181.97,A/,AZ,A/,A/
30.49,SQ,O',RQ,SQ
19.64,SW,"O,",RW,SD
23.81,SE,O.,RF,SR
38.4,SR,OP,RP,SW
55.74,ST,OY,RG,SB
73.93,SY,OF,RJ,SJ
92.47,SU,OG,RL,SF
111.18,SI,OC,RU,SU
129.99,SO,OR,RY,SP
148.86,SP,OL,R;,S;
19.05,SA,OA,RA,SA
0.0,SS,OO,RR,SS
19.05,SD,OE,RS,SH
38.1,SF,OU,RT,ST
57.15,SG,OI,RD,SG
76.2,SH,OD,RH,SY
95.25,SJ,OH,RN,SN
114.3,SK,OT,RE,SE
133.35,SL,ON,RI,SO
152.4,S;,OS,RO,SI
21.3,SZ,O;,RZ,SZ
21.3,SX,OQ,RX,SX
34.34,SC,OJ,RC,SM
51.29,SV,OK,RV,SC
69.34,SB,OX,RB,SV
87.82,SN,OB,RK,SK
106.49,SM,OM,RM,SL
125.28,"S,",OW,"R,","S,"
144.14,S.,OV,R.,S.
163.04,S/,OZ,R/,S/
46.91,DQ,E',SQ,HQ
30.49,DW,"E,",SW,HD
19.64,DE,E.,SF,HR
23.81,DR,EP,SP,HW
38.4,DT,EY,SG,HB
55.74,DY,EF,SJ,HJ
73.93,DU,EG,SL,HF
92.47,DI,EC,SU,HU
111.18,DO,ER,SY,HP
129.99,DP,EL,S;,H;
38.1,DA,EA,SA,HA
19.05,DS,EO,SR,HS
0.0,DD,EE,SS,HH
19.05,DF,EU,ST,HT
38.1,DG,EI,SD,HG
57.15,DH,ED,SH,HY
76.2,DJ,EH,SN,HN
95.25,DK,ET,SE,HE
114.3,DL,EN,SI,HO
133.35,D;,ES,SO,HI
34.34,DZ,E;,SZ,HZ
21.3,DX,EQ,SX,HX
21.3,DC,EJ,SC,HM
34.34,DV,EK,SV,HC
51.29,DB,EX,SB,HV
69.34,DN,EB,SK,HK
87.82,DM,EM,SM,HL
106.49,"D,",EW,"S,","H,"
125.28,D.,EV,S.,H.
144.14,D/,EZ,S/,H/
64.78,FQ,U',TQ,TQ
46.91,FW,"U,",TW,TD
30.49,FE,U.,TF,TR
19.64,FR,UP,TP,TW
23.81,FT,UY,TG,TB
38.4,FY,UF,TJ,TJ
55.74,FU,UG,TL,TF
73.93,FI,UC,TU,TU
92.47,FO,UR,TY,TP
111.18,FP,UL,T;,T;
57.15,FA,UA,TA,TA
38.1,FS,UO,TR,TS
19.05,FD,UE,TS,TH
0.0,FF,UU,TT,TT
19.05,FG,UI,TD,TG
38.1,FH,UD,TH,TY
57.15,FJ,UH,TN,TN
76.2,FK,UT,TE,TE
95.25,FL,UN,TI,TO
114.3,F;,US,TO,TI
51.29,FZ,U;,TZ,TZ
34.34,FX,UQ,TX,TX
21.3,FC,UJ,TC,TM
21.3,FV,UK,TV,TC
34.34,FB,UX,TB,TV
51.29,FN,UB,TK,TK
69.34,FM,UM,TM,TL
87.82,"F,",UW,"T,","T,"
106.49,F.,UV,T.,T.
125.28,F/,UZ,T/,T/
83.17,GQ,I',DQ,GQ
64.78,GW,"I,",DW,GD
46.91,GE,I.,DF,GR
30.49,GR,IP,DP,GW
19.64,GT,IY,DG,GB
23.81,GY,IF,DJ,GJ
38.4,GU,IG,DL,GF
55.74,GI,IC,DU,GU
73.93,GO,IR,DY,GP
92.47,GP,IL,D;,G;
76.2,GA,IA,DA,GA
57.15,GS,IO,DR,GS
38.1,GD,IE,DS,GH
19.05,GF,IU,DT,GT
0.0,GG,II,DD,GG
19.05,GH,ID,DH,GY
38.1,GJ,IH,DN,GN
57.15,GK,IT,DE,GE
76.2,GL,IN,DI,GO
95.25,G;,IS,DO,GI
69.34,GZ,I;,DZ,GZ
51.29,GX,IQ,DX,GX
34.34,GC,IJ,DC,GM
21.3,GV,IK,DV,GC
21.3,GB,IX,DB,GV
34.34,GN,IB,DK,GK
51.29,GM,IM,DM,GL
69.34,"G,",IW,"D,","G,"
87.82,G.,IV,D.,G.
106.49,G/,IZ,D/,G/
101.81,HQ,D',HQ,YQ
83.17,HW,"D,",HW,YD
64.78,HE,D.,HF,YR
46.91,HR,DP,HP,YW
30.49,HT,DY,HG,YB
19.64,HY,DF,HJ,YJ
23.81,HU,DG,HL,YF
38.4,HI,DC,HU,YU
55.74,HO,DR,HY,YP
73.93,HP,DL,H;,Y;
95.25,HA,DA,HA,YA
76.2,HS,DO,HR,YS
57.15,HD,DE,HS,YH
38.1,HF,DU,HT,YT
19.05,HG,DI,HD,YG
0.0,HH,DD,HH,YY
19.05,HJ,DH,HN,YN
38.1,HK,DT,HE,YE
57.15,HL,DN,HI,YO
76.2,H;,DS,HO,YI
87.82,HZ,D;,HZ,YZ
69.34,HX,DQ,HX,YX
51.29,HC,DJ,HC,YM
34.34,HV,DK,HV,YC
21.3,HB,DX,HB,YV
21.3,HN,DB,HK,YK
34.34,HM,DM,HM,YL
51.29,"H,",DW,"H,","Y,"
69.34,H.,DV,H.,Y.
87.82,H/,DZ,H/,Y/
120.58,JQ,H',NQ,NQ
101.81,JW,"H,",NW,ND
83.17,JE,H.,NF,NR
64.78,JR,HP,NP,NW
46.91,JT,HY,NG,NB
30.49,JY,HF,NJ,NJ
19.64,JU,HG,NL,NF
23.81,JI,HC,NU,NU
38.4,JO,HR,NY,NP
55.74,JP,HL,N;,N;
114.3,JA,HA,NA,NA
95.25,JS,HO,NR,NS
76.2,JD,HE,NS,NH
57.15,JF,HU,NT,NT
38.1,JG,HI,ND,NG
19.05,JH,HD,NH,NY
0.0,JJ,HH,NN,NN
19.05,JK,HT,NE,NE
38.1,JL,HN,NI,NO
57.15,J;,HS,NO,NI
106.49,JZ,H;,NZ,NZ
87.82,JX,HQ,NX,NX
69.34,JC,HJ,NC,NM
51.29,JV,HK,NV,NC
34.34,JB,HX,NB,NV
21.3,JN,HB,NK,NK
21.3,JM,HM,NM,NL
34.34,"J,",HW,"N,","N,"
51.29,J.,HV,N.,N.
69.34,J/,HZ,N/,N/
139.42,KQ,T',EQ,EQ
120.58,KW,"T,",EW,ED
101.81,KE,T.,EF,ER
83.17,KR,TP,EP,EW
64.78,KT,TY,EG,EB
46.91,KY,TF,EJ,EJ
30.49,KU,TG,EL,EF
19.64,KI,TC,EU,EU
23.81,KO,TR,EY,EP
38.4,KP,TL,E;,E;
133.35,KA,TA,EA,EA
114.3,KS,TO,ER,ES
95.25,KD,TE,ES,EH
76.2,KF,TU,ET,ET
57.15,KG,TI,ED,EG
38.1,KH,TD,EH,EY
19.05,KJ,TH,EN,EN
0.0,KK,TT,EE,EE
19.05,KL,TN,EI,EO
38.1,K;,TS,EO,EI
125.28,KZ,T;,EZ,EZ
106.49,KX,TQ,EX,EX
87.82,KC,TJ,EC,EM
69.34,KV,TK,EV,EC
51.29,KB,TX,EB,EV
34.34,KN,TB,EK,EK
21.3,KM,TM,EM,EL
21.3,"K,",TW,"E,","E,"
34.34,K.,TV,E.,E.
51.29,K/,TZ,E/,E/
158.31,LQ,N',IQ,OQ
139.42,LW,"N,",IW,OD
120.58,LE,N.,IF,OR
101.81,LR,NP,IP,OW
83.17,LT,NY,IG,OB
64.78,LY,NF,IJ,OJ
46.91,LU,NG,IL,OF
30.49,LI,NC,IU,OU
19.64,LO,NR,IY,OP
23.81,LP,NL,I;,O;
152.4,LA,NA,IA,OA
133.35,LS,NO,IR,OS
114.3,LD,NE,IS,OH
95.25,LF,NU,IT,OT
76.2,LG,NI,ID,OG
57.15,LH,ND,IH,OY
38.1,LJ,NH,IN,ON
19.05,LK,NT,IE,OE
0.0,LL,NN,II,OO
19.05,L;,NS,IO,OI
144.14,LZ,N;,IZ,OZ
125.28,LX,NQ,IX,OX
106.49,LC,NJ,IC,OM
87.82,LV,NK,IV,OC
69.34,LB,NX,IB,OV
51.29,LN,NB,IK,OK
34.34,LM,NM,IM,OL
21.3,"L,",NW,"I,","O,"
21.3,L.,NV,I.,O.
34.34,L/,NZ,I/,O/
177.24,;Q,S',OQ,IQ
158.31,;W,"S,",OW,ID
139.42,;E,S.,OF,IR
120.58,;R,SP,OP,IW
101.81,;T,SY,OG,IB
83.17,;Y,SF,OJ,IJ
64.78,;U,SG,OL,IF
