distance,qwerty,dvorak,colemak,workman
57.15,",B",WX,",B",",V"
38.1,",N",WB,",K",",K"
19.05,",M",WM,",M",",L"
0.0,",,",WW,",,",",,"
19.05,",.",WV,",.",",."
38.1,",/",WZ,",/",",/"
170.99,.Q,V',.Q,.Q
152.47,.W,"V,",.W,.D
134.11,.E,V.,.F,.R
115.97,.R,VP,.P,.W
98.18,.T,VY,.G,.B
80.96,.Y,VF,.J,.J
64.78,.U,VG,.L,.F
50.63,.I,VC,.U,.U
40.69,.O,VR,.Y,.P
38.4,.P,VL,.;,.;
163.04,.A,VA,.A,.A
144.14,.S,VO,.R,.S
125.28,.D,VE,.S,.H
106.49,.F,VU,.T,.T
87.82,.G,VI,.D,.G
69.34,.H,VD,.H,.Y
51.29,.J,VH,.N,.N
34.34,.K,VT,.E,.E
21.3,.L,VN,.I,.O
21.3,.;,VS,.O,.I
152.4,.Z,V;,.Z,.Z
133.35,.X,VQ,.X,.X
114.3,.C,VJ,.C,.M
95.25,.V,VK,.V,.C
76.2,.B,VX,.B,.V
57.15,.N,VB,.K,.K
38.1,.M,VM,.M,.L
19.05,".,",VW,".,",".,"
0.0,..,VV,..,..
19.05,./,VZ,./,./
189.6,/Q,Z',/Q,/Q
170.99,/W,"Z,",/W,/D
152.47,/E,Z.,/F,/R
134.11,/R,ZP,/P,/W
115.97,/T,ZY,/G,/B
98.18,/Y,ZF,/J,/J
80.96,/U,ZG,/L,/F
64.78,/I,ZC,/U,/U
50.63,/O,ZR,/Y,/P
40.69,/P,ZL,/;,/;
181.97,/A,ZA,/A,/A
163.04,/S,ZO,/R,/S
144.14,/D,ZE,/S,/H
125.28,/F,ZU,/T,/T
106.49,/G,ZI,/D,/G
87.82,/H,ZD,/H,/Y
69.34,/J,ZH,/N,/N
51.29,/K,ZT,/E,/E
34.34,/L,ZN,/I,/O
21.3,/;,ZS,/O,/I
171.45,/Z,Z;,/Z,/Z
152.4,/X,ZQ,/X,/X
133.35,/C,ZJ,/C,/M
114.3,/V,ZK,/V,/C
95.25,/B,ZX,/B,/V
76.2,/N,ZB,/K,/K
57.15,/M,ZM,/M,/L
38.1,"/,",ZW,"/,","/,"
19.05,/.,ZV,/.,/.
0.0,//,ZZ,//,//
